num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
27,44,11,14,vegather,18,49
3,0,0,10,kishoretaggi007,9,0
2,7,1,12,prashant-kikani,11,0
1,0,0,35,RedMAngo22,29,0
0,0,0,1,zeroekool,0,0
0,121,0,6,roberto-araya,3,0
0,0,0,1,errahulofficial,1,0
23,2200,0,226,ansarid,25,15
0,1,0,3,GuyVanroye,2,0
0,4,0,6,Pietyta,3,0
0,0,0,6,venktesh-bolla,9,0
0,0,0,1,imfiroz,8,0
11,80,0,38,avidLearnerInProgress,10,0
0,0,0,1,abhishekdev201994,0,0
3,39,0,7,shubhamk06,18,0
15,81,0,89,hu53yin,22,1
4,0,1,4,RohitB97,14,0
0,0,0,1,ntepp,7,0
81,13,215,0,lamberta,13,792
3,5,0,20,Deepak5j,19,0
0,1,2,4,aswin4400,5,0
4,15,13,0,nebstrebor,16,37
20,1,0,1,danielpeach,24,0
5,0,1,4,md-adil,22,0
0,0,0,1,AmKshitij,1,0
448,410,1179,22,luis-almeida,11,5669
0,2,0,1,Infonomicsno,4,0
0,0,0,1,SahjahanReza006c,0,0
4,1,1,10,reactionic127,19,0
0,0,0,2,robilin,3,0
0,0,0,7,tharunShiv,6,0
1,2,0,4,abritpal,2,0
0,0,0,1,danowagroup,2,0
0,0,0,2,paatrriik,1,0
0,0,0,3,Prince7195,13,0
0,7,0,7,vullankib,1,0
30,136,1,2100,drastorguev,13,2
27,33,4,61,ozdemiri,1,6
0,0,0,1,PragalbhaTDG,0,0
0,0,0,1,rajesh1409,0,0
2,5,0,38,vinaydinodia,4,1
0,0,0,2,sudharsanansr,1,0
1,10,0,24,diogoconceicao,5,0
1,0,1,1,chandanapericharla,2,0
35,236,30,16,munhitsu,25,107
25,6,89,6,juanifioren,10,149
0,1,0,5,UshihaMadara93,10,0
1,27,5,5,puneethreddy20,5,2
14,776,0,35,yogakurniawan,23,1
0,0,0,4,pratikgaurav,5,0
15,27,176,24,yoavaviram,2,563
1100,24,28,12,adrianholovaty,18,99
54,30,258,20,sricola,24,284
95,6,267,3,thauber,4,710
29,20,91,6,directeur,12,247
11,22,94,2,jjkester,7,146
